Date,Age,Freq,l_Fnu,Fnu,e_Fnu,r_Fnu,RMS,Name,cFnu,Tel,recno
2004-08-02,34.12,8.46,,1.28,0.046,,0.046,J0642+679,0.32,VLA-DArray,1
2004-08-02,34.14,22.46,<,0.429,,,0.169,J0642+679,0.15,VLA-DArray,2
2004-08-03,35.12,8.46,,1.6,0.09,,0.09,J0921+622,0.78,VLA-DArray,3
2004-08-03,35.13,22.46,<,1.095,,,0.416,J0921+622,0.67,VLA-DArray,4
2004-08-03,35.15,43.32,<,0.956,,,0.478,J0921+622,0.55,VLA-DArray,5
2004-08-05,37.24,8.46,,1.78,0.289,,0.228,J0921+622,0.78,VLA-DArray,6
2004-08-05,37.25,22.46,<,1.593,,,0.531,J0921+622,0.61,VLA-DArray,7
2004-08-05,37.26,4.86,,2.07,0.322,,0.247,J0921+622,0.8,VLA-DArray,8
2004-08-05,37.32,14.94,<,0.87,,,0.29,J0921+622,0.54,VLA-DArray,9
2004-08-05,37.74,4.99,,1.8,0.3,b,0.3,,,MERLIN,10
2004-08-09,41.04,4.99,,1.8,0.3,b,0.3,,,MERLIN,11
2004-08-10,42.06,8.46,,1.217,0.188,,0.143,J0921+622,0.78,VLA-DArray,12
2004-08-10,42.07,4.86,,2.133,0.277,,0.177,J0921+622,0.8,VLA-DArray,13
2004-08-11,43.64,4.99,,2.1,0.3,b,0.3,,,MERLIN,14
2004-08-12,44.24,1.39,,0.39,0.17,,0.07,J0614+607,0.97,GMRT,15
2004-08-14,46.02,14.94,,0.799,0.206,,0.19,J0921+622,0.61,VLA-DArray,16
2004-08-14,46.04,4.86,,2.258,0.299,,0.196,J0921+622,0.8,VLA-DArray,17
2004-08-14,46.04,8.46,,1.349,0.192,,0.137,J0921+622,0.78,VLA-DArray,18
2004-08-14,46.06,22.46,<,1.551,,,0.517,J0921+622,0.54,VLA-DArray,19
2004-08-15,46.74,4.99,,1.88,0.3,b,0.3,,,MERLIN,20
2004-08-21,52.9,8.46,<,1.8,,,0.644,J0921+622,0.78,VLA-DArray,21
2004-08-21,52.91,4.86,,1.72,0.089,,0.089,J0921+622,0.8,VLA-DArray,22
2004-08-22,54.24,1.39,,0.67,0.23,,0.1,J0617+604,1.4,GMRT,23
2004-08-22,54.24,1.06,<,0.26,,,0.13,J0614+617,1.19,GMRT,24
2004-08-23,55.64,4.994,,1.75,0.3,b,0.3,,,MERLIN,25
2004-08-27,58.78,8.46,,0.839,0.262,,0.065,J0921+622,0.8,VLA-DArray,26
2004-08-27,58.78,4.86,,1.282,0.083,,0.083,J0921+622,0.81,VLA-DArray,27
2004-08-27,58.84,4.99,,1.125,0.3,b,0.3,,,MERLIN,28
2004-08-30,61.84,4.99,,1.25,0.3,,0.3,,,MERLIN,29
2004-08-30,61.88,14.94,<,0.5,,,0.158,J0921+622,0.74,VLA-DArray,30
2004-08-30,61.89,4.86,,1.26,0.088,,0.088,J0921+622,0.8,VLA-DArray,31
2004-08-30,61.9,8.46,,0.83,0.079,,0.079,J0921+622,0.78,VLA-DArray,32
2004-08-30,61.91,22.46,<,0.45,,,0.149,J0921+622,0.77,VLA-DArray,33
2004-09-01,64.24,1.39,,0.72,0.22,,0.075,J0614+607,1.23,GMRT,34
2004-09-01,64.24,1.06,,0.41,0.12,,0.12,J0614+607,1.42,GMRT,35
2004-09-03,65.84,4.99,,0.78,0.3,b,0.3,,,MERLIN,36
2004-09-05,68.14,4.99,,0.94,0.3,b,0.3,,,MERLIN,37
2004-09-09,71.84,4.99,,0.96,0.3,b,0.3,,,MERLIN,38
2004-09-10,73.64,1.46,,1.164,0.18,,0.138,J0921+622,0.9,VLA-AArray,39
2004-09-10,73.74,4.88,,1.184,0.086,,0.062,J0921+622,0.76,VLA-AArray,40
2004-09-10,73.74,8.44,,0.644,0.062,,0.05,J0921+622,0.75,VLA-AArray,41
2004-09-11,73.8,14.94,<,0.753,,,0.251,J0921+622,0.74,VLA-AArray,42
2004-09-11,74.54,4.99,,1.15,0.3,b,0.3,,,MERLIN,43
2004-09-15,77.94,4.99,,0.8,0.3,b,0.3,,,MERLIN,44
2004-09-17,80.54,4.99,,1.08,0.3,b,0.3,,,MERLIN,45
2004-09-20,83.14,4.99,,1.02,0.3,,0.3,,,MERLIN,46
2004-09-21,83.96,14.94,<,0.835,,,0.3,J0921+622,0.73,VLA-AArray,47
2004-09-21,83.97,4.86,,0.838,0.137,,0.069,J0921+622,0.73,VLA-AArray,48
2004-09-21,83.98,8.46,,0.302,0.073,,0.051,J0921+622,0.72,VLA-AArray,49
